gene,cluster_id,timepoint,cluster_name,n_cells,pct_pos,is_pronephros
pax2a,100,18,18hpf-endothelial,149,20.13,False
pax2a,101,18,18hpf-otic placode,51,60.78,False
pax2a,102,18,18hpf-neural - hindbrain ventral nkx6.2,76,9.21,False
pax2a,103,18,18hpf-germline,9,0.0,False
pax2a,105,18,18hpf-pronephric duct - posterior,11,81.82,True
pax2a,106,18,18hpf-neural -  floorplate,6,16.67,False
pax2a,107,18,18hpf-heart mature,17,5.88,False
pax2a,108,18,18hpf-macrophage - ly75,14,14.29,False
pax2a,109,18,18hpf-pronephric duct,10,70.0,True
pax2a,110,18,18hpf-periderm,15,0.0,False
pax2a,111,18,18hpf-pancreas primordium,8,12.5,False
pax2a,112,18,18hpf-differentiating neurons - rohon beard,26,26.92,False
pax2a,113,18,18hpf-retina pigmented epithelium,46,10.87,False
pax2a,114,18,18hpf-differentiating neurons - dlx,30,3.33,False
pax2a,115,18,18hpf-epidermal - pfn1,383,11.49,False
pax2a,116,18,18hpf-lateral line primordium,46,47.83,False
pax2a,117,18,18hpf-endoderm,142,23.94,False
pax2a,118,18,18hpf-neural - midbrain ventral nkx6.2,126,6.35,False
pax2a,119,18,18hpf-pharyngeal arch,202,12.38,False
pax2a,120,18,18hpf-neural crest - crestin,148,15.54,False
pax2a,121,18,18hpf-differentiating neurons - phox2a,8,12.5,False
pax2a,122,18,18hpf-differentiating neurons - eomesa,28,3.57,False
pax2a,123,18,18hpf-neural - ventral hindbrain,684,13.16,False
pax2a,124,24,24hpf-differentiating neurons - hmx,30,0.0,False
pax2a,125,24,24hpf-differentiating neurons - dlx,65,3.08,False
pax2a,126,24,24hpf-epidermal - prr15la,24,4.17,False
pax2a,127,24,24hpf-pancreas primordium,6,0.0,False
pax2a,128,24,24hpf-ionocyte - ca2,31,6.45,False
pax2a,129,24,24hpf-leukocyte,13,15.38,False
pax2a,130,24,24hpf-neural - ventral hindbrain,911,4.61,False
pax2a,131,24,24hpf-erythroid,506,3.36,False
pax2a,132,24,24hpf-differentiating neurons - phox2a,44,6.82,False
pax2a,133,24,24hpf-mesoderm - emp2,31,6.45,False
pax2a,134,24,24hpf-differentiating neurons,523,18.36,False
pax2a,136,24,24hpf-neural - midbrain,1211,18.74,False
pax2a,137,24,24hpf-neural - dorsal spinal cord,31,3.23,False
pax2a,138,24,24hpf-neural - diencephalon,203,4.93,False
pax2a,139,24,24hpf-neural crest,8,0.0,False
pax2a,140,24,24hpf-optic cup,772,19.56,False
pax2a,141,24,24hpf-periderm,22,13.64,False
pax2a,142,24,24hpf-tailbud - spinal cord,144,1.39,False
pax2a,143,24,24hpf-pectoral fin bud,104,2.88,False
pax2a,144,24,24hpf-macrophage,61,4.92,False
pax2a,145,24,24hpf-epidermal - grhl3,12,0.0,False
pax2a,146,24,24hpf-epidermal - olfactory placode,44,4.55,False
pax2a,147,24,24hpf-neural - dorsal hindbrain,667,6.0,False
pax2a,148,24,24hpf-otic placode,33,30.3,False
pax2a,149,24,24hpf-endoderm,64,7.81,False
pax2a,150,24,24hpf-myotome,32,6.25,False
pax2a,151,24,24hpf-pharyngeal pouch,53,13.21,False
pax2a,152,24,24hpf-epidermal - anterior,75,29.33,False
pax2a,153,24,24hpf-tailbud - PSM,23,0.0,False
pax2a,154,24,24hpf-pharyngeal arch - tbx1,22,0.0,False
pax2a,155,24,24hpf-endothelial,127,3.15,False
pax2a,156,24,24hpf-hatching gland,32,28.12,False
pax2a,157,24,24hpf-differentiating neurons - eomesa,101,6.93,False
pax2a,158,24,24hpf-pharyngeal arch - cd248b,135,5.19,False
pax2a,159,24,24hpf-lens,14,7.14,False
pax2a,160,24,24hpf-neural - floorplate,9,11.11,False
pax2a,161,24,24hpf-endothelial - posterior,53,0.0,False
pax2a,164,24,24hpf-epidermal - atp1a1a.2,38,7.89,False
pax2a,165,24,24hpf-neural - hindbrain roofplate,37,0.0,False
pax2a,166,24,24hpf-differentiating neurons - rohon beard,62,17.74,False
pax2a,167,24,24hpf-retina pigmented epithelium,37,13.51,False
pax2a,168,24,24hpf-neural - telencephalon,351,11.68,False
pax2a,169,24,24hpf-neural - midbrain ventral nkx6.2,191,6.81,False
pax2a,170,24,24hpf-neural - hindbrain gsx1,245,2.45,False
pax2a,171,24,24hpf-neural - posterior ventral nkx6.2,146,2.74,False
pax2a,172,24,24hpf-germline,9,0.0,False
pax2a,174,24,24hpf-heart,71,2.82,False
pax2a,177,24,24hpf-neural - diencephalon posterior,46,6.52,False
pax2a,178,24,24hpf-pharyngeal arch - ndnf,44,4.55,False
pax2a,179,24,24hpf-heart - hoxd9a,34,5.88,False
pax2a,180,24,24hpf-epidermal - muc5ac,17,11.76,False
pax2a,182,24,24hpf-neural crest - xanthophore,27,0.0,False
pax2a,183,24,24hpf-neural crest - melanoblast,23,13.04,False
pax2a,184,24,24hpf-neural crest - iridoblast,5,0.0,False
pax2a,185,24,24hpf-neural crest - grem2,92,2.17,False
pax2a,186,24,24hpf-neural crest - mcamb,52,3.85,False
pax2a,187,24,24hpf-pronephric duct,8,87.5,True
pax2a,189,24,24hpf-epidermal - s100a11,8,0.0,False
pax2a,190,24,24hpf-lateral line - krt15,14,21.43,False
pax2a,191,24,24hpf-epidermal - and1,26,7.69,False
pax2a,193,24,24hpf-epidermal - rbp4,35,0.0,False
pax2a,194,24,24hpf-epidermal - col7a1l,60,13.33,False
pax2a,195,24,24hpf-epidermal - kera,24,4.17,False
pax2a,51,14,14hpf-epidermal - pfn1,741,4.99,False
pax2a,52,14,14hpf-optic primordium,223,36.32,False
pax2a,53,14,14hpf-mesoderm - blood island,43,27.91,False
pax2a,54,14,14hpf-neural - diencephalon,88,9.09,False
